imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0104745,The Living End,The Living End,1992,1992-08-21,Comedy,81,USA,English,Gregg Araki,Gregg Araki,Desperate Pictures,"Mike Dytri, Craig Gilmore, Mark Finch, Mary Woronov, Johanna Went, Darcy Marta, Scott Goetz, Brett Vail, Nicole Dillenberg, Stephen Holman, Magie Song, Peter Lanigan, Jon Gerrans, Jack Kofman, Chris Mabli","Luke is a gay hustler. Jon is a movie critic. Both are HIV positive. They go on a hedonistic, dangerous journey, their motto ""Fuck the world"".",6.5,2650,$ 22769,$ 692585,$ 692585,65,18,16
tt0104756,L'olio di Lorenzo,Lorenzo's Oil,1992,1993-01-29,Drama,129,USA,"English, Italian",George Miller,"George Miller, Nick Enright",Universal Pictures,"Nick Nolte, Susan Sarandon, Peter Ustinov, Kathleen Wilhoite, Gerry Bamman, Margo Martindale, James Rebhorn, Ann Hearn, Maduka Steady, Mary Wakio, Don Suddaby, Colin Ward, LaTanya Richardson Jackson, Jennifer Dundas, William Cameron","A boy develops a disease so rare that nobody is working on a cure, so his father decides to learn all about it and tackle the problem himself.",7.3,20186,$ 30000000,$ 7286388,$ 7286388,80,79,32
tt0104797,Malcolm X,Malcolm X,1992,1993-03-16,Biography,202,USA,English,Spike Lee,"Alex Haley, Malcolm X",Largo International N.V.,"Denzel Washington, Angela Bassett, Albert Hall, Al Freeman Jr., Delroy Lindo, Spike Lee, Theresa Randle, Kate Vernon, Lonette McKee, Tommy Hollis, James McDaniel, Ernest Thomas, Jean-Claude La Marre, O.L. Duke, Larry McCoy","Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.",7.7,83487,$ 33000000,$ 48169910,$ 48169910,73,188,74
tt0104815,"El Mariachi, suonatore di chitarra",El mariachi,1992,1993-09-03,Action,81,Mexico,Spanish,Robert Rodriguez,Robert Rodriguez,Columbia Pictures,"Carlos Gallardo, Consuelo Gómez, Jaime de Hoyos, Peter Marquardt, Reinol Martinez, Ramiro Gómez, Jesús López, Luis Baró, Oscar Fabila, Poncho Ramón, Fernando Martínez, Manuel Acosta, Walter Vargas, Roberto Martinez, Virgen Delgado",A traveling mariachi is mistaken for a murderous criminal and must hide from a gang bent on killing him.,6.9,62362,$ 7000,$ 2040920,$ 2040920,73,139,60
tt0104850,Avventure di un uomo invisibile,Memoirs of an Invisible Man,1992,1992-12-03,Comedy,99,USA,English,John Carpenter,"H.F. Saint, Robert Collector",Warner Bros.,"Chevy Chase, Daryl Hannah, Sam Neill, Michael McKean, Stephen Tobolowsky, Jim Norton, Pat Skipper, Paul Perri, Richard Epcar, Steven Barr, Gregory Paul Martin, Patricia Heaton, Barry Kivel, Donald Li, Rosalind Chao","After a freak accident, a yuppie turns invisible and runs from a treacherous CIA official, while trying to cope with his new life.",6,22145,$ 40000000,$ 14358033,$ 14358033,48,83,76
tt0104868,Stoffa da campioni,The Mighty Ducks,1992,1992-10-02,Comedy,104,USA,English,Stephen Herek,Steven Brill,Avnet/Kerner Productions,"Emilio Estevez, Joss Ackland, Lane Smith, Heidi Kling, Josef Sommer, Joshua Jackson, Elden Henson, Shaun Weiss, M.C. Gainey, Matt Doherty, Brandon Quintin Adams, J.D. Daniels, Aaron Schwartz, Garette Ratliff Henson, Marguerite Moreau",A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.,6.5,57227,$ 10000000,$ 50752337,$ 50752337,46,60,32
tt0104940,Festa in casa Muppet,The Muppet Christmas Carol,1992,1993-12-23,Comedy,85,USA,English,Brian Henson,"Charles Dickens, Jerry Juhl",Walt Disney Pictures,"Michael Caine, Dave Goelz, The Great Gonzo, Steve Whitmire, Jerry Nelson, Rizzo The Rat, Frank Oz, David Rudman, Don Austen, Jessica Fox, Robert Tygner, Steven Mackintosh, Meredith Braun, Robin Weaver, Raymond Coulthard",The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,7.7,46386,$ 12000000,$ 27281507,$ 32319318,64,179,80
tt0104952,Mio cugino Vincenzo,My Cousin Vinny,1992,1992-08-18,Comedy,120,USA,English,Jonathan Lynn,Dale Launer,Twentieth Century Fox,"Joe Pesci, Ralph Macchio, Marisa Tomei, Mitchell Whitfield, Fred Gwynne, Lane Smith, Austin Pendleton, Bruce McGill, Maury Chaykin, Paulene Myers, Raynor Scheine, James Rebhorn, Chris Ellis, Michael Simpson, Lou Walker","Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",7.6,104026,$ 11000000,$ 52929168,$ 64088552,68,258,53
tt0104990,Gli strilloni,Newsies,1992,1992-04-10,Drama,121,USA,English,Kenny Ortega,"Bob Tzudiker, Noni White",Touchwood Pacific Partners 1,"Christian Bale, David Moscow, Luke Edwards, Max Casella, Gabriel Damon, Marty Belafsky, Arvie Lowe Jr., Aaron Lohr, Trey Parker, Dee Caspary, Joseph Conrad, Dominic Maldonado, Matthew Schoenfeld, Mark David, Ivan Dudynsky",A musical based on the New York City newsboy strike of 1899. When young newspaper sellers are exploited beyond reason by their bosses they set out to enact change and are met by the ruthlessness of big business.,7,18513,$ 15000000,$ 2819485,$ 2819485,46,303,33
tt0105001,La notte e la città,Night and the City,1992,1993-03-05,Comedy,105,USA,English,Irwin Winkler,"Gerald Kersh, Richard Price",Penta Films,"Robert De Niro, Jessica Lange, Cliff Gorman, Alan King, Jack Warden, Eli Wallach, Barry Primus, Gene Kirkwood, Gerard Murphy, Clem Caserta, Anthony Canarozzi, David W. Butler, Byron Utley, Margo Winkler, Maurice Shrog",The story about a cheating and incompetent lawyer (Harry Fabian) who suddenly gets obsessed on becoming a boxing promoter.,5.8,4454,$ 20000000,$ 6202756,$ 6202756,61,37,17
tt0105112,Giochi di potere,Patriot Games,1992,1992-10-09,Action,117,USA,English,Phillip Noyce,"Tom Clancy, W. Peter Iliff",Mace Neufeld Productions,"Harrison Ford, Anne Archer, Patrick Bergin, Sean Bean, Thora Birch, James Fox, Samuel L. Jackson, Polly Walker, J.E. Freeman, James Earl Jones, Richard Harris, Alex Norton, Hugh Fraser, David Threlfall, Alun Armstrong","When CIA analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets him and his family for revenge.",6.9,100936,$ 45000000,$ 83351587,$ 178051587,64,154,62
tt0105121,La casa nera,The People Under the Stairs,1991,1991-11-01,Comedy,102,USA,English,Wes Craven,Wes Craven,Universal Pictures,"Brandon Quintin Adams, Everett McGill, Wendy Robie, A.J. Langer, Ving Rhames, Sean Whalen, Bill Cobbs, Kelly Jo Minter, Jeremy Roberts, Conni Marie Brazelton, Josh Coxx, John Hostetter, John Mahon, Teresa Velarde, George R. Parker","Two adults and a juvenile break into a house occupied by a brother and sister and their stolen children. There, they must fight for their lives.",6.4,30481,$ 6000000,$ 24204154,$ 31347154,57,166,150
tt0105128,Cimitero vivente 2,Pet Sematary II,1992,1993-08-13,Fantasy,100,USA,English,Mary Lambert,Richard Outten,Paramount Pictures,"Edward Furlong, Anthony Edwards, Clancy Brown, Jared Rushton, Darlanne Fluegel, Jason McGuire, Sarah Trigger, Lisa Waltz, Jim Peck, Len Hunt, Reid Binion, David Ratajczak, Lucius Houghton, Wilbur Fitzgerald, Elizabeth Ziegler","A teenage boy and his father move to his recently-deceased mother's hometown, where they encounter the ancient Native American cemetery with the power to raise the dead.",4.9,18953,$ 8000000,$ 17092453,$ 17092453,35,130,51
tt0105151,I protagonisti,The Player,1992,1992-11-14,Comedy,124,USA,English,Robert Altman,"Michael Tolkin, Michael Tolkin",Avenue Pictures,"Tim Robbins, Greta Scacchi, Fred Ward, Whoopi Goldberg, Peter Gallagher, Brion James, Cynthia Stevenson, Vincent D'Onofrio, Dean Stockwell, Richard E. Grant, Sydney Pollack, Lyle Lovett, Dina Merrill, Angela Hall, Leah Ayres","A Hollywood studio executive is being sent death threats by a writer whose script he rejected, but which one?",7.5,53449,$ 8000000,$ 21706101,$ 21706101,86,197,89
tt0105156,La mia peggiore amica,Poison Ivy,1992,1992-05-08,Drama,90,USA,English,Katt Shea,"Melissa Goddard, Andy Ruben",New Line Cinema,"Sara Gilbert, Drew Barrymore, Tom Skerritt, Cheryl Ladd, Alan Stock, Jeanne Sakata, E.J. Moore, J.B. Quon, Leonardo DiCaprio, Michael Goldner, Charley Hayward, Time Winters, Billy Kane, Tony Ervolina, Mary Gordon Murray",A seductive teen befriends an introverted high school student and schemes her way into the lives of her wealthy family.,5.4,16928,$ 3000000,$ 1829804,$ 1829804,51,60,34
tt0105226,Red Rock West,Red Rock West,1993,1993-05-14,Crime,98,USA,English,John Dahl,"John Dahl, Rick Dahl",Propaganda Films,"Nicolas Cage, Craig Reay, Vance Johnson, Robert Apel, Bobby Joe McFadden, J.T. Walsh, Lara Flynn Boyle, Dale Gibson, Ted Parks, Babs Bram, Robert Guajardo, Sarah Sullivan, Timothy Carhart, Dan Shor, Dennis Hopper","Upon arriving to a small town, a drifter is mistaken for a hitman, but when the real hitman arrives, complications ensue.",7,19796,$ 8000000,$ 2502551,$ 2502551,79,92,56
tt0105236,Le iene,Reservoir Dogs,1992,1992-10-09,Crime,99,USA,English,Quentin Tarantino,"Quentin Tarantino, Quentin Tarantino",Live Entertainment,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn, Steve Buscemi, Lawrence Tierney, Randy Brooks, Kirk Baltz, Edward Bunker, Quentin Tarantino, Rich Turner, David Steen, Tony Cosmo, Stevo Polyi, Michael Sottile","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",8.3,896551,$ 1200000,$ 2832029,$ 2889963,79,1163,205
tt0105265,In mezzo scorre il fiume,A River Runs Through It,1992,1992-10-30,Drama,123,USA,English,Robert Redford,"Norman Maclean, Richard Friedenberg",Allied Filmmakers,"Craig Sheffer, Brad Pitt, Tom Skerritt, Brenda Blethyn, Emily Lloyd, Edie McClurg, Stephen Shellen, Vann Gravage, Nicole Burdette, Susan Traylor, Michael Cudlitz, Rob Cox, Buck Simmonds, Fred Oakland, David Creamer","The story about two sons of a stern minister -- one reserved, one rebellious -- growing up in rural Montana while devoted to fly fishing.",7.2,52491,$ 12000000,$ 43440294,$ 43440294,68,165,55
tt0105323,Scent of a Woman - Profumo di donna,Scent of a Woman,1992,1993-02-26,Drama,156,USA,English,Martin Brest,"Giovanni Arpino, Bo Goldman",Universal Pictures,"Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar, Philip Seymour Hoffman, Richard Venture, Bradley Whitford, Rochelle Oliver, Margaret Eginton, Tom Riis Farrell, Nicholas Sadler, Todd Louiso, Matt Smith, Gene Canfield, Frances Conroy","A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",8,253857,$ 31000000,$ 63095253,$ 134095253,59,414,62
tt0105327,Scuola d'onore,School Ties,1992,1992-09-18,Drama,106,USA,"English, Hebrew, French",Robert Mandel,"Dick Wolf, Dick Wolf",Paramount Pictures,"Brendan Fraser, Matt Damon, Chris O'Donnell, Randall Batinkoff, Andrew Lowery, Cole Hauser, Ben Affleck, Anthony Rapp, Amy Locane, Peter Donat, Zeljko Ivanek, Kevin Tighe, Michael Higgins, Ed Lauter, Peter McRobbie","Set in the 1950s, a star-quarterback is given an opportunity to attend an elite preparatory school but must conceal the fact that he is Jewish.",6.9,21876,$ 18000000,$ 14715067,$ 14715067,65,95,23
